"","mem_no","crm_group","time","first_logon","first_dlvry","ord_cnt","cluster","is_churn","risk_ratio","is_logon","is_dlvry"
"8878","A1135B3FA45E305A19293C31BF6D739FED0FC5A3B53FF64A45F13B4918F40A62","control",2023-11-24,NA,NA,0,"part_peak","YES",19.958904109589,0,0
"8879","77278E1B4EC54136109C66F8EFA92EFCDF1CDD3C38FA0AA4CDE30631B5B6AD85","test",2023-11-24,NA,NA,0,"part_peak","YES",3.38461538461538,0,0
"8880","472C976281FAA5A1D38AAF14E779BF443D09618B556A9066BD5EE333F2A2299E","control",2023-11-24,NA,NA,0,"part_peak","YES",4.86666666666667,0,0
"8881","B5EFBADFED17BE0D7053BF2D04EE78512F475638C139A74328163385A9AFF581","control",2023-11-24,NA,NA,0,"welcome","YES",14,0,0
"8882","426D871716F679F20D9C7D9EE82257242CA0F763770553FFA3B805668E2DA929","test",2023-11-24,2023-11-24 18:42:00,2023-11-24 18:42:00,7,"part_peak","NO",2.51351351351351,1,1
"8883","120FF757DC076063611E22E8991D4301DA7D81A2A08ED20D1B06D0D13B1088D6","test",2023-11-24,NA,NA,0,"part_peak","YES",22.1428571428571,0,0
"8884","B8173216FE727C420A6ECF239E04C237EA79D93FF4FA397819E215CB5D1C0889","control",2023-11-24,NA,NA,0,"part_peak","NO",7.91397849462366,0,0
"8885","7DD67C893FDF7283FDEB6C6BBB6270D49DC4926B595A06A2FBEB5266A09DA19A","test",2023-11-24,NA,NA,0,"part_peak","YES",8.67605633802817,0,0
"8886","2CDB84DD3F7EF0707C9391F4B279B2577BE61A34077516673405EB805223F975","test",2023-11-24,NA,NA,0,"part_all","NO",3.08823529411765,0,0
"8887","4D9DD42A2F8F2E51D8AFFD19B03D4D080D0303C5DD09B3ABC2254321AF1ADD0A","test",2023-11-24,NA,NA,0,"part_all","NO",4.35416666666667,0,0
"8888","8A300E4757021954F7B3CA1767DDA441A443C08AAA63621C5B16222C2799AE43","test",2023-11-24,NA,NA,0,"part_all","YES",13.1866666666667,0,0
"8889","2C73E0E39D055C4E1BD674FE295C5C170EA0E68251F9813E6C7F4A25FDE636E4","test",2023-11-24,2023-11-24 19:26:00,2023-11-24 19:28:00,10,"part_all","NO",7.5,1,1
"8890","E1653E37D29E321D2A83F3CA3A1DAFA460D05433824E3D01E96DB6F05D3EA5C3","control",2023-11-24,NA,NA,0,"part_all","YES",8.30555555555556,0,0
"8891","B0CABA7BE503977253E66AA8DC166527CFB49A50F8C7A0ADA57385346AE757EC","test",2023-11-24,NA,NA,0,"part_peak","YES",9.23076923076923,0,0
"8892","5D4DF5A9C4BDDB485A9559392F1016BE18DED518BEC049BACA7CF098D915D2DD","control",2023-11-24,NA,NA,0,"part_peak","NO",2.91836734693878,0,0
"8893","4F09BE2D231CC75E5196D72180BBAEA011BE83853A17CF9EC85C2128B02347BD","control",2023-11-24,NA,NA,0,"part_all","NO",1.65094339622642,0,0
"8894","6951B475D2792593A2AB6E13BE6B7855C6F826A4CDE2C3A29C9F249038A93972","test",2023-11-24,NA,NA,0,"part_all","NO",1.82608695652174,0,0
"8895","8448CE023639B90388787AC16A8CD8782526D0CE3A521875065974C9893DF695","test",2023-11-24,NA,NA,0,"part_peak","YES",32.6206896551724,0,0
"8896","8DC72E752254E998DA5EF7EB29A6C74238DB1134BECB0FF4AEC27D29D960E4C8","control",2023-11-24,NA,NA,0,"part_all","NO",1.72972972972973,0,0
"8897","2DAB805AFA4F97B33179F78683DB6A938BA4534476B85C10B92031B2AF8823F1","control",2023-11-24,NA,NA,0,"part_peak","YES",42.1621621621622,0,0
"8898","A776C98E5D2E48D71EE9A03B604E63BC2C322A4AC267CCF9A5CB09AF0D1F75AB","control",2023-11-24,2023-11-24 12:30:00,2023-11-24 12:30:00,1,"part_peak","NO",1.58653846153846,1,1
"8899","466D81309A6CA28A60D59A46A7D60FBAFEAE3A35B29E25E1C457E21F5C51D88D","test",2023-11-24,NA,NA,0,"part_all","NO",10.75,0,0
"8900","1650BBF7DA6C5791D3254E6F4AC59B83186B562C23AEFE8307FFC3CEB7CBC5AD","control",2023-11-24,NA,NA,0,"part_all","NO",2.43478260869565,0,0
"8901","F27B817E17513939C456A75601B5558FBA4D7DE9E5934433F207CD581C1AFC61","test",2023-11-24,NA,NA,0,"part_peak","NO",5.48076923076923,0,0
"8902","FDFD7C0E86A1DAC7DC747EAF73615D29A6C06F4F49CA7886FA32314F21D0215C","test",2023-11-24,NA,NA,0,"part_all","YES",18.8571428571429,0,0
"8903","CED82B4CA35B43482641716D4E732E619431ED73624583FCC86F6738EB0562BB","control",2023-11-24,NA,NA,0,"part_peak","YES",6.2,0,0
