,brms_rider_id,crm_time,rgn2_nm,order_count
45,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,1st_time,동작구,2
46,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,1st_time,서초구,9
47,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,2nd_time,서초구,31
48,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,1st_time,강남구,11
49,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,1st_time,서초구,18
50,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,2nd_time,강남구,16
51,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,2nd_time,서초구,22
52,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,1st_time,청주시 서원구,24
53,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,1st_time,청주시 흥덕구,49
54,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,2nd_time,청주시 상당구,5
55,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,2nd_time,청주시 서원구,61
56,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,2nd_time,청주시 흥덕구,77
57,135C21BFA163D2BE96EBA3DDC0AC07C06583CB7CCB39990088F4D658FD63C83E,1st_time,서초구,27
58,135C21BFA163D2BE96EBA3DDC0AC07C06583CB7CCB39990088F4D658FD63C83E,2nd_time,강남구,1
59,135C21BFA163D2BE96EBA3DDC0AC07C06583CB7CCB39990088F4D658FD63C83E,2nd_time,서초구,48
60,13853E562018F28D966AEF4608FE10ED2948B55637B9B1117A5AEB59FE429709,1st_time,강남구,24
61,13853E562018F28D966AEF4608FE10ED2948B55637B9B1117A5AEB59FE429709,1st_time,서초구,13
62,13853E562018F28D966AEF4608FE10ED2948B55637B9B1117A5AEB59FE429709,2nd_time,강남구,6
63,13853E562018F28D966AEF4608FE10ED2948B55637B9B1117A5AEB59FE429709,2nd_time,서초구,6
64,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,1st_time,청주시 상당구,2
65,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,1st_time,청주시 서원구,16
66,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,1st_time,청주시 흥덕구,1
67,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,2nd_time,청주시 상당구,6
68,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,2nd_time,청주시 서원구,24
69,1428616814E604F6049DB15EA5E090E5D733024F25EDA51BA3914989D260F71F,2nd_time,청주시 흥덕구,6
70,1463011F7D568A474FD7ACB4C83D24C6195C7DD8679EA9381A5EF5D6DC62F087,1st_time,과천시,27
71,1463011F7D568A474FD7ACB4C83D24C6195C7DD8679EA9381A5EF5D6DC62F087,1st_time,의왕시,1
72,1463011F7D568A474FD7ACB4C83D24C6195C7DD8679EA9381A5EF5D6DC62F087,2nd_time,과천시,22
73,1463011F7D568A474FD7ACB4C83D24C6195C7DD8679EA9381A5EF5D6DC62F087,2nd_time,안양시 동안구,18
74,1463011F7D568A474FD7ACB4C83D24C6195C7DD8679EA9381A5EF5D6DC62F087,2nd_time,의왕시,11
75,156275EC8B46FC22636E85726E791917402CCE2F1C0CBE614023DD118411D050,1st_time,강남구,12
76,156275EC8B46FC22636E85726E791917402CCE2F1C0CBE614023DD118411D050,1st_time,서초구,26
77,156275EC8B46FC22636E85726E791917402CCE2F1C0CBE614023DD118411D050,2nd_time,강남구,30
78,156275EC8B46FC22636E85726E791917402CCE2F1C0CBE614023DD118411D050,2nd_time,서초구,63
79,15E78CF18DAF76A96F6F0AFEDA277BEA05C9F9BF1D2C66050CE44DEFC05CEBE8,1st_time,청주시 서원구,1
80,15E78CF18DAF76A96F6F0AFEDA277BEA05C9F9BF1D2C66050CE44DEFC05CEBE8,1st_time,청주시 흥덕구,9
81,15E78CF18DAF76A96F6F0AFEDA277BEA05C9F9BF1D2C66050CE44DEFC05CEBE8,2nd_time,청주시 서원구,5
82,15E78CF18DAF76A96F6F0AFEDA277BEA05C9F9BF1D2C66050CE44DEFC05CEBE8,2nd_time,청주시 흥덕구,10
83,18EAAFBAB67B8BEFC6A10BEC9DA8BDD6ECD36AA4FE9F423A4D9EF709089967C5,1st_time,서초구,6
84,18EAAFBAB67B8BEFC6A10BEC9DA8BDD6ECD36AA4FE9F423A4D9EF709089967C5,2nd_time,강남구,12
85,18EAAFBAB67B8BEFC6A10BEC9DA8BDD6ECD36AA4FE9F423A4D9EF709089967C5,2nd_time,마포구,3
86,18EAAFBAB67B8BEFC6A10BEC9DA8BDD6ECD36AA4FE9F423A4D9EF709089967C5,2nd_time,서초구,21
87,1BEC7684403B45D8B049D3CD19A985E848266793A5D4CB84297806DB27C957E9,1st_time,서초구,6
88,1BEC7684403B45D8B049D3CD19A985E848266793A5D4CB84297806DB27C957E9,2nd_time,강남구,4
89,1BEC7684403B45D8B049D3CD19A985E848266793A5D4CB84297806DB27C957E9,2nd_time,관악구,1
90,1BEC7684403B45D8B049D3CD19A985E848266793A5D4CB84297806DB27C957E9,2nd_time,동작구,1
91,1BEC7684403B45D8B049D3CD19A985E848266793A5D4CB84297806DB27C957E9,2nd_time,서초구,21
92,1D898F8ECB4295EABBB536E9926BE39DD7E8078E821CD9A81590ABCD136DDD15,1st_time,청주시 서원구,59
93,1D898F8ECB4295EABBB536E9926BE39DD7E8078E821CD9A81590ABCD136DDD15,1st_time,청주시 흥덕구,72
94,1D898F8ECB4295EABBB536E9926BE39DD7E8078E821CD9A81590ABCD136DDD15,2nd_time,청주시 서원구,69
95,1D898F8ECB4295EABBB536E9926BE39DD7E8078E821CD9A81590ABCD136DDD15,2nd_time,청주시 흥덕구,106
96,20084C5C976D01A8631393CC3243D60E9167B0A3C54A0A93B28E655418470B11,1st_time,강남구,23
97,20084C5C976D01A8631393CC3243D60E9167B0A3C54A0A93B28E655418470B11,1st_time,서초구,32
98,20084C5C976D01A8631393CC3243D60E9167B0A3C54A0A93B28E655418470B11,2nd_time,강남구,3
99,20084C5C976D01A8631393CC3243D60E9167B0A3C54A0A93B28E655418470B11,2nd_time,서초구,5
100,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,1st_time,청주시 상당구,10
101,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,1st_time,청주시 서원구,20
102,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,1st_time,청주시 청원구,3
103,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,1st_time,청주시 흥덕구,30
104,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,2nd_time,청주시 상당구,1
105,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,2nd_time,청주시 서원구,24
106,205BE080BC98137D65B1443C17606548B13B03D04FFC52A38A0B42746A747B0B,2nd_time,청주시 흥덕구,66
107,215D83D0C6A7AAF9D7DA0EB6BF3D6A0CF82C9C82AAEF30F322759B00ED881860,1st_time,청주시 서원구,3
108,215D83D0C6A7AAF9D7DA0EB6BF3D6A0CF82C9C82AAEF30F322759B00ED881860,1st_time,청주시 흥덕구,38
